id;title;description;availability;condition;price;link;image_link;brand
72;tefroite;"<p>Tefroite s cab. Navette.</p>\n<p>No treated.</p>\n<p>Size: 51x18x3mm.</p>\n<p>Weight: 3,60gr.</p>\n<p>From El Molar (Tarragona) Spain.</p>";"in stock";new;46;https://gemmesterra.com/Botiga/en/home/72-tefroite.html;http://gemmesterra.com/Botiga/191/TEFROITE.jpg;Gemmesterra
73; turquoise, natural;"<p>Cab of natural turquoise.</p>\n<p>The turquoise is  natural, untreated in any way.</p>\n<p>Arizona, Sleeping Beauty.</p>\n<p>Weight:11ct.</p>\n<p>Size: 19x18x5mm.</p>";"in stock";new;110;https://gemmesterra.com/Botiga/en/home/73--turquoise-natural.html;http://gemmesterra.com/Botiga/206/_TURQUOISE;Gemmesterra
74; turquoise, natural;"<p>Cab of natural turquoise. Round.</p>\n<p>The turquoise is  natural, untreated in any way.</p>\n<p>Arizona, Sleeping Beauty.</p>\n<p>Weight:3,00ct.</p>\n<p>Size: 21x11x3mm.</p>";"in stock";new;30;https://gemmesterra.com/Botiga/en/home/74--turquoise-natural.html;http://gemmesterra.com/Botiga/202/_TURQUOISE;Gemmesterra
75; turquoise, natural;"<p>Cab of natural turquoise. Tear.</p>\n<p>The turquoise is  natural, untreated in any way.</p>\n<p>Arizona, Sleeping Beauty.</p>\n<p>Weight:3,30ct.</p>\n<p>Size: 15x8x4mm.</p>";"in stock";new;33;https://gemmesterra.com/Botiga/en/home/75--turquoise-natural.html;http://gemmesterra.com/Botiga/205/_TURQUOISE;Gemmesterra
76;aerinite;"<p>Aerinite cab.</p>\n<p>No treated.</p>\n<p>Size: 33x33x8mm.</p>\n<p>Weight: 91ct.</p>\n<p>From Lleida, Spain.</p>";"in stock";new;80;https://gemmesterra.com/Botiga/en/home/76-aerinite.html;http://gemmesterra.com/Botiga/192/AERINITE.jpg;Gemmesterra
77;cinta stone;"<p>Cinta s stone cab. Oval.</p>\n<p>Size 47x31x10mm.</p>\n<p>Weight:23.50gr.</p>\n<p>No treated.</p>\n<p>From Tortosa (Tarragona) Spain.</p>";"in stock";new;50;https://gemmesterra.com/Botiga/en/home/77-cinta-stone.html;http://gemmesterra.com/Botiga/195/CINTA_STONE.jpg;Gemmesterra
78;tefroite;"<p>Tefroite s cab. .</p>\n<p>No treated.</p>\n<p>Size: 24x24x4mm.</p>\n<p>Weight: 46.50ct.</p>\n<p>From El Molar (Tarragona) Spain.</p>";"in stock";new;46;https://gemmesterra.com/Botiga/en/home/78-tefroite.html;http://gemmesterra.com/Botiga/197/TEFROITE.jpg;Gemmesterra
79;inca stone;"<p>Pedra Inca faceted (Inca stone)</p>\n<p>(Chalcedony with copper)</p>\n<p>No treated.</p>\n<p>Size :31x24x4mm.</p>\n<p>Weight:34.60ct.</p>\n<p>Bolivia.</p>";"in stock";new;62;https://gemmesterra.com/Botiga/en/home/79-inca-stone.html;http://gemmesterra.com/Botiga/199/INCA_STONE.jpg;Gemmesterra
80;garnet star;"<p>Cab of garnet star.</p>\n<p>Oval.</p>\n<p>No treated.</p>\n<p>Size 19x24x10mm.</p>\n<p>Weight:53.40ct.</p>\n<p>India.</p>\n<p> </p>";"in stock";new;53;https://gemmesterra.com/Botiga/en/home/80-garnet-star.html;http://gemmesterra.com/Botiga/850/GARNET_STAR.jpg;Gemmesterra
81;garnet star;"<p>Cab of garnet star.</p>\n<p>Oval.</p>\n<p>No treated.</p>\n<p>Size 24x21x10mm.</p>\n<p>Weight:55.50ct.</p>\n<p>India.</p>\n<p> </p>";"in stock";new;55;https://gemmesterra.com/Botiga/en/home/81-garnet-star.html;http://gemmesterra.com/Botiga/244/GARNET_STAR.jpg;Gemmesterra
82;garnet star;"<p>Cab of garnet star.</p>\n<p>Round.</p>\n<p>No treated.</p>\n<p>Size 21x9mm.</p>\n<p>Weight: 43ct.</p>\n<p>India.</p>\n<p> </p>";"in stock";new;43;https://gemmesterra.com/Botiga/en/home/82-garnet-star.html;http://gemmesterra.com/Botiga/210/GARNET_STAR.jpg;Gemmesterra
83;moonstone;"<p>Cab of moonstone.</p>\n<p>Oval.</p>\n<p>No treated.</p>\n<p>Size 13x15x11mm.</p>\n<p>Weight: 3.60gr.</p>\n<p>India.</p>\n<p> </p>";"in stock";new;36;https://gemmesterra.com/Botiga/en/home/83-moonstone.html;http://gemmesterra.com/Botiga/240/MOONSTONE.jpg;Gemmesterra
84;pietersite;"<p>Pietersite.</p>\n<p>Oval cab.</p>\n<p>No treated.</p>\n<p>Size: 38.5x24x4mm.</p>\n<p>Weight: 6.70gr.</p>";"in stock";new;38;https://gemmesterra.com/Botiga/en/home/84-pietersite.html;http://gemmesterra.com/Botiga/211/PIETERSITE.jpg;Gemmesterra
85;turquoise;"<p>Cab of natural turquoise.</p>\n<p>The turquoise is  natural, untreated in any way.</p>\n<p>Arizona, Sleeping Beauty.</p>\n<p>Weight: 15ct.</p>\n<p>Size: 32x17x4.5mm.</p>";"in stock";new;75;https://gemmesterra.com/Botiga/en/home/85--turquoise.html;http://gemmesterra.com/Botiga/215/TURQUOISE.jpg;Gemmesterra
86;kyanite;"<p><strong>Kyanite Nepal</strong></p>\n<p><strong>5.49 </strong><strong>Ct</strong></p>\n<p><strong>12.6 X 8.0 X 5.5 </strong><strong>MM</strong></p>\n<p>natural, </p>";"in stock";new;120;https://gemmesterra.com/Botiga/en/home/86-kyanite.html;http://gemmesterra.com/Botiga/208/KYANITE.jpg;Gemmesterra
87;kyanite;"<p><strong>Kyanite Nepal</strong></p>\n<p>2.76 <strong>Ct</strong></p>\n<p><strong>10.9 X 7.4 X 3.4 </strong><strong>MM</strong></p>\n<p>natural, </p>";"in stock";new;51;https://gemmesterra.com/Botiga/en/home/87-kyanite.html;http://gemmesterra.com/Botiga/209/KYANITE.jpg;Gemmesterra
89;pine fossil araucaria;"<p>Silver pendant with pine fossil araucaria.</p>\n<p>No treated.</p>\n<p>Weight: 17.70gr.</p>\n<p>Saize: 41x66x4mm.</p>\n<p>Argentina.</p>";"in stock";new;160;https://gemmesterra.com/Botiga/en/home/89-pineapple-fossil-araucaria.html;http://gemmesterra.com/Botiga/212/PINE_FOSSIL_ARAUCARIA.jpg;Gemmesterra
91; turquoise, natural;"<p>Natural turquoise. Rough.</p>\n<p>The turquoise is  natural, untreated in any way.</p>\n<p>Arizona, Sleeping Beauty.</p>\n<p>Weight:31,1ct.</p>\n<p>Size: 28x23x10mm.</p>";"in stock";new;42;https://gemmesterra.com/Botiga/en/home/91--turquoise-natural.html;http://gemmesterra.com/Botiga/218/_TURQUOISE;Gemmesterra
92; turquoise, natural;"<p>Natural turquoise. Rough.</p>\n<p>The turquoise is  natural, untreated in any way.</p>\n<p>Arizona, Sleeping Beauty.</p>\n<p>Weight: 54.50ct.</p>\n<p>Size: 40x25x9mm.</p>";"in stock";new;98;https://gemmesterra.com/Botiga/en/home/92--turquoise-natural.html;http://gemmesterra.com/Botiga/219/_TURQUOISE;Gemmesterra
93; turquoise, natural;"<p>Natural turquoise. Rough.</p>\n<p>The turquoise is  natural, untreated in any way.</p>\n<p>Arizona, Sleeping Beauty.</p>\n<p>Weight: 23.60ct.</p>\n<p>Size: 27x19x8mm.</p>";"in stock";new;56;https://gemmesterra.com/Botiga/en/home/93--turquoise-natural.html;http://gemmesterra.com/Botiga/221/_TURQUOISE;Gemmesterra
101;amber;"<p>Rough amber from Baltic.</p>\n<p>Natural non treated.</p>\n<p>Weight: 19.70g</p>\n<p>Size: 36x47x22mm.</p>\n<p> </p>";"in stock";new;115;https://gemmesterra.com/Botiga/en/home/101-amber.html;http://gemmesterra.com/Botiga/544/AMBER.jpg;Gemmesterra
103;baltic amber;"<p>Rough amber from Baltic.</p>\n<p>Natural non treated.</p>\n<p>Weight: 56.90g</p>\n<p>Size: 41x50x38mm.</p>\n<p> </p>";"in stock";new;280;https://gemmesterra.com/Botiga/en/home/103-amber.html;http://gemmesterra.com/Botiga/325/BALTIC_AMBER.jpg;Gemmesterra
104;amber;"<p>Rough amber from Somatra.</p>\n<p>Natural non treated.</p>\n<p>Weight: 6.80g.</p>\n<p>Size: 20x35x17mm.</p>\n<p> </p>";"in stock";new;40;https://gemmesterra.com/Botiga/en/home/104-amber.html;http://gemmesterra.com/Botiga/541/AMBER.jpg;Gemmesterra
105;amber sumatra;"<p>Rough amber from Somatra.</p>\n<p>Natural non treated.</p>\n<p>Weight: 5.40g</p>\n<p>Size: 23x25x18mm.</p>\n<p> </p>";"in stock";new;33;https://gemmesterra.com/Botiga/en/home/105-amber.html;http://gemmesterra.com/Botiga/230/AMBER_SUMATRA.jpg;Gemmesterra
106;amber;"<p>Rough amber from Borneo.</p>\n<p>Natural non treated.</p>\n<p>Weight: 59.40g</p>\n<p>Size: 45x68x42mm.</p>\n<p> </p>";"in stock";new;88;https://gemmesterra.com/Botiga/en/home/106-amber.html;http://gemmesterra.com/Botiga/861/AMBER.jpg;Gemmesterra
107;amber borneo;"<p>Rough amber from Borneo.</p>\n<p>Natural non treated.</p>\n<p>Weight: 74.70g.</p>\n<p>Size: 58x67x34mm.</p>\n<p> </p>";"in stock";new;110;https://gemmesterra.com/Botiga/en/home/107-amber.html;http://gemmesterra.com/Botiga/329/AMBER_BORNEO.jpg;Gemmesterra
108;amber sumatra;"<p>Rough amber from Somatra.</p>\n<p>Natural non treated.</p>\n<p>Weight: 5.60g</p>\n<p>Size: 22x29x16mm.</p>\n<p> </p>";"in stock";new;33;https://gemmesterra.com/Botiga/en/home/108-amber.html;http://gemmesterra.com/Botiga/225/AMBER_SUMATRA.jpg;Gemmesterra
110;rough aquamarine+ortose+quartz;"<p>rough crystal of aquamarine+ortose+quartz</p>\n<p>Size: 46x69x39mm.</p>\n<p>Weight: 187,60gr.</p>\n<p>Not treated.</p>";"in stock";new;40;https://gemmesterra.com/Botiga/en/home/110-rough-aquamarineortosequartz.html;http://gemmesterra.com/Botiga/233/ROUGH_AQUAMARINE+ORTOSE+QUARTZ.jpg;Gemmesterra
111;wolframite;"<p>Rough Wolframite</p>\n<p>Weight: 90.50gr.</p>\n<p>Size: 33x45x11mm.</p>\n<p>Not treated.</p>\n<p>From Portugal.</p>";"in stock";new;60;https://gemmesterra.com/Botiga/en/home/111-wolfram.html;http://gemmesterra.com/Botiga/322/WOLFRAMITE.jpg;Gemmesterra
112;turmaline dravite crystal;"<p>Crystal of dravite turmaline.</p>\n<p>Weight: 157.90gr.</p>\n<p>Size: 50x73x30mm.</p>\n<p>Not treated.</p>\n<p>Australia.</p>";"in stock";new;50;https://gemmesterra.com/Botiga/en/home/112-turmaline-dravite-crystal.html;http://gemmesterra.com/Botiga/236/TURMALINE_DRAVITE_CRYSTAL.jpg;Gemmesterra
115;necklace of star garnet;"<p>Necklace  of star garnet with silver closure.</p>\n<p>No treatment.</p>\n<p>Stone size 19x15mm.</p>\n<p> </p>";"in stock";new;55;https://gemmesterra.com/Botiga/en/home/115-necklace-with-star-garnet.html;http://gemmesterra.com/Botiga/296/NECKLACE_of_STAR_GARNET.jpg;Gemmesterra
116;necklace of multicolor turmalin.;"<p>Necklace of multicolor turmalin with silver closure.</p>\n<p>Non treatment.</p>\n<p>Length of the necklace 37.5cm.</p>";"in stock";new;80;https://gemmesterra.com/Botiga/en/home/116-necklace-of-turmalin.html;http://gemmesterra.com/Botiga/292/NECKLACE_OF_MULTICOLOR_TURMALIN..jpg;Gemmesterra
118;jade jadeite;"<p>Cab of Jade Jadeita (AAA) from Birmania.</p>\n<p>Not treated.</p>\n<p>Weight: 25.60ct. Size: 25x18x7mm.</p>";"in stock";new;11;https://gemmesterra.com/Botiga/en/home/118-jade-jadeita.html;http://gemmesterra.com/Botiga/264/JADE_JADEITE.jpg;Gemmesterra
120;jade jadeite;"<p>Cab of Jade Jadeita (AAA) from Birmania.</p>\n<p>Not treated.</p>\n<p>Weight: 31.10ct. Size: 25x19x8mm.</p>";"in stock";new;25;https://gemmesterra.com/Botiga/en/home/120-jade-jadeita.html;http://gemmesterra.com/Botiga/253/JADE_JADEITE.jpg;Gemmesterra
121;jade jadeite;"<p>Cab of Jade Jadeita (AAA) from Birmania.</p>\n<p>Not treated.</p>\n<p>Weight: 12.80gr. Size: 31x22x10mm.</p>";"in stock";new;38;https://gemmesterra.com/Botiga/en/home/121-jade-jadeita.html;http://gemmesterra.com/Botiga/272/JADE_JADEITE.jpg;Gemmesterra
122;jade jadeite;"<p>Cab of Jade Jadeita (AAA) from Birmania.</p>\n<p>Not treated.</p>\n<p>Weight: 28.50gr. Size: 41x29x12mm.</p>";"in stock";new;42;https://gemmesterra.com/Botiga/en/home/122-jade-jadeita.html;http://gemmesterra.com/Botiga/299/JADE_JADEITE.jpg;Gemmesterra
123;jade jadeite;"<p>Cab of Jade Jadeita (AAA) from Birmania.</p>\n<p>Not treated.</p>\n<p>Weight: 29.40ct. Size: 20x15x11mm.</p>";"in stock";new;29;https://gemmesterra.com/Botiga/en/home/123-jade-jadeita.html;http://gemmesterra.com/Botiga/276/JADE_JADEITE.jpg;Gemmesterra
125;jade jadeite;"<p>Cab of Jade Jadeita (AAA) from Birmania.</p>\n<p>Not treated.</p>\n<p>Weight: 13.75ct. Size: 24x11x6mm.</p>";"in stock";new;30;https://gemmesterra.com/Botiga/en/home/125-jade-jadeita.html;http://gemmesterra.com/Botiga/273/JADE_JADEITE.jpg;Gemmesterra
126;jade jadeite;"<p>Cab of Jade Jadeita (AAA) from Birmania.</p>\n<p>Not treated.</p>\n<p>Weight: 27.15ct. Size: 25x18x7mm.</p>";"in stock";new;27;https://gemmesterra.com/Botiga/en/home/126-jade-jadeita.html;http://gemmesterra.com/Botiga/255/JADE_JADEITE.jpg;Gemmesterra
127;jade jadeite;"<p>Cab of Jade Jadeita (AAA) from Birmania.</p>\n<p>Not treated.</p>\n<p>Weight: 30.55ct. Size: 25x18x8mm.</p>";"in stock";new;10;https://gemmesterra.com/Botiga/en/home/127-jade-jadeita.html;http://gemmesterra.com/Botiga/261/JADE_JADEITE.jpg;Gemmesterra
128;african opal;"<p>Tear cab of opal from Africa.</p>\n<p>Not treated.</p>\n<p>Weight: 2.60ct. Size: 14x8.5x5mm.</p>\n<p> </p>";"in stock";new;60;https://gemmesterra.com/Botiga/en/home/128-african-opal.html;http://gemmesterra.com/Botiga/288/AFRICAN_OPAL.jpg;Gemmesterra
129;espesartita;"<p>Faceted espesartite from Africa.</p>\n<p>Not treated.</p>\n<p>Weight: 3.40ct. Size:8.5x7.5x4.5mm.</p>";"in stock";new;160;https://gemmesterra.com/Botiga/en/home/129-espesartita.html;http://gemmesterra.com/Botiga/843/ESPESARTITA.jpg;Gemmesterra
130;espesartita;"<p>Faceted espesartite from Africa.</p>\n<p>Not treated.</p>\n<p>Weight: 5.45ct. Size: 11x9x6mm.</p>";"in stock";new;272;https://gemmesterra.com/Botiga/en/home/130-espesartita.html;http://gemmesterra.com/Botiga/280/ESPESARTITA.jpg;Gemmesterra
131;amethyst;"<p>Facteded Amethyst from Uruguay.</p>\n<p>Not treated.</p>\n<p>Weight: 3.0ct. Size: 10x9x7mm.</p>";"in stock";new;40;https://gemmesterra.com/Botiga/en/home/131-amatista.html;http://gemmesterra.com/Botiga/284/Amethyst.jpg;Gemmesterra
132;mexican opal;"<p>Mexican opal.</p>\n<p>Cab </p>\n<p>No treated.</p>\n<p>Size:  23x10x5mm.</p>\n<p>Weight:  7,70ct.</p>";"in stock";new;45;https://gemmesterra.com/Botiga/en/home/132-mexican-opal.html;http://gemmesterra.com/Botiga/302/MEXICAN_OPAL.jpg;Gemmesterra
133;mexican opal;"<p>Mexican opal.</p>\n<p>Cab </p>\n<p>No treated.</p>\n<p>Size:  23x10x5mm.</p>\n<p>Weight:  7,70ct.</p>";"in stock";new;45;https://gemmesterra.com/Botiga/en/home/133-mexican-opal.html;http://gemmesterra.com/Botiga/304/MEXICAN_OPAL.jpg;Gemmesterra
136;rodocrosite;"<p>Pear cab of Rodocrosite.</p>\n<p>Not treated.</p>\n<p>Weight: 16.55ct. Size: 26x16x6mm.</p>";"in stock";new;36;https://gemmesterra.com/Botiga/en/home/136-rodocrosite.html;http://gemmesterra.com/Botiga/341/RODOCROSITE.jpg;Gemmesterra
137;moonstone necklace;"<p>Moonstone necklace.</p>\n<p>No treated.</p>\n<p>Size:68cm. 4mm faceted stones.</p>\n<p> </p>\n<p> </p>";"in stock";new;42;https://gemmesterra.com/Botiga/en/home/137-moonstone.html;http://gemmesterra.com/Botiga/313/MOONSTONE_NECKLACE.jpg;Gemmesterra
138;moonstone necklace;"<p>Moonstone necklace.</p>\n<p>No treated.</p>\n<p>Size:39cm. </p>\n<p> </p>\n<p> </p>";"in stock";new;25;https://gemmesterra.com/Botiga/en/home/138-moonstone.html;http://gemmesterra.com/Botiga/695/MOONSTONE_NECKLACE.jpg;Gemmesterra
139;morganite necklace;"<p>Morganite neckalce cut facet+sivler.</p>\n<p>Not treated.</p>\n<p>Stone size: 10mm.</p>";"in stock";new;96;https://gemmesterra.com/Botiga/en/home/139-morganite-necklace.html;http://gemmesterra.com/Botiga/318/MORGANITE_NECKLACE.jpg;Gemmesterra
140;necklace of rodolite garnet;"<p>Necklace rodolite garnet+silver.</p>\n<p>Silver closure.</p>\n<p>No treatment.</p>\n<p>Size stone: 7mm.</p>\n<p> </p>";"in stock";new;82;https://gemmesterra.com/Botiga/en/home/140-necklace-of-rodolite-garnet.html;http://gemmesterra.com/Botiga/319/NECKLACE_of_RODOLITE_GARNET.jpg;Gemmesterra
141;pink quars necklace;"<p>Pink quars neckalce.</p>\n<p>Size quartz 12 mm.</p>\n<p>cotton.</p>";"in stock";new;40;https://gemmesterra.com/Botiga/en/home/141-pink-quars-necklace.html;http://gemmesterra.com/Botiga/314/PINK_QUARS_NECKLACE.jpg;Gemmesterra
